Item ID,Item Name,Item Number
-1,reg_time,2018-05-21 14:38:42
item-10,Dummy Core,714
item-31,Basic Training Data,731
item-32,Intermediate Training Data,54
item-33,Advanced Training Data,12
-1,kalina_level,30
-1,kalina_favor,195200
item-1,T-Doll Contract,954
item-2,Equipment Contract,2489
item-3,Quick Production Contract,321
item-4,Quick Repair Contract,2745
item-5,Daily Pause Permit,1
item-7,Oath Certificate,0
item-8,Quick Training Contract,47
item-9,Enhancement Capsule,2814
item-11,Key Card,0
item-12,Points,0
item-13,Name Change Card,2
item-14,Original Sample,3
item-15,Pure Sample,11
item-16,Quick Analysis Contract,848
item-17,Data Patch,51
item-41,Token,40
item-42,Exchange Ticket,0
item-43,Black Card,4
item-44,Calibration Ticket,874
item-45,Memory Fragment,1164
item-46,Special Combat Report,0
item-47,Theater Material,1
item-50,Universal Parts,11101
item-51,New Type Fire-Control Component,40
item-100,Elite Griffin Combat Medal,6
item-101,Combat Ranking Medal,86
item-103,Challenger Medal,17
item-104,Elite Adventurer Medal,6
item-304,Central Data: M2,0
item-305,Central Data: AT4,0
item-306,Core Data: QLZ-04,0
item-307,Central Data: Mk 153,0
item-506,Battery,9764
item-507,Surplus EXP,52992
item-508,Friendship Points,1750
item-509,Fairy Command,200
item-512,Supernova Kernel,10
item-513,Dark Star Kernel,16800
item-514,Petri Dish,2134
item-515,Basic Training Keycode,17722
item-516,Advanced Training Keycode,7012
item-519,HOC General Data,75
item-520,Frag Grenade,50
item-521,Stun Grenade,159
item-522,Turret,139
item-601,Infinite Surprise Dye,28
item-603,Potential Energy,1
item-604,Electronic Impulse,7
item-605,Aid Commission,24
item-606,Transfer Catalyst,130
item-1001,AAT-52 Icon,1
item-1002,G43 Icon,1
item-1003,IDW Icon,1
item-1004,L85A1 Icon,1
item-1005,M1911 Icon,1
item-1006,PPSh-41 Icon,1
item-1007,M38 Icon,1
item-1008,AK-47 Icon,1
item-1009,G17 Icon,1
item-1010,Makarov Icon,1
item-1011,Skorpion Icon,1
item-1012,Serdyukov Icon,1
item-1013,AR15 Icon,1
item-1014,M1918 Icon,1
item-1015,Gr MP5 Icon,1
item-1016,PTRD Icon,1
item-1017,UMP9 Icon,1
item-1018,Gr G11 Icon,1
item-1019,OTs-14 Icon,1
item-1020,Suomi Icon,1
item-1021,IOP,1
item-1026,M4A1 Celebration Icon,1
item-1031,Bren Icon,1
item-1032,FMG-9 Icon,1
item-1033,KS-23 Icon,1
item-1034,M9 Icon,1
item-1035,M1919A4 Icon,1
item-1036,Ingram Icon,1
item-1037,Micro Uzi Icon,1
item-1038,OTs-12 Icon,1
item-1039,PPS-43 Icon,1
item-1040,RMB-93 Icon,1
item-1041,STEN Mk II Icon,1
item-1042,SV-98 Icon,1
item-1043,Gr G36 Icon,1
item-1044,SAA Icon,1
item-1045,SPAS-12 Icon,1
item-1046,SVD Icon,1
item-1047,UMP45 Icon,1
item-1048,Am KSG Icon,1
item-1049,M99 Icon,1
item-1053,M4A1,1
item-1054,SPP-1,1
item-1056,UMP40 Icon,1
item-1057,Background: Deep Dive,1
item-1058,FF FNP9 Icon,1
item-1059,Gr G3 Icon,1
item-1060,LWMMG Icon,1
item-1061,M3 Icon,1
item-1062,M1895 Icon,1
item-1063,Spectre M4 Icon,1
item-1064,SVT-38 Icon,1
item-1065,M1 Garand Icon,1
item-1066,M2HB Icon,1
item-1067,M21 Icon,1
item-1068,StG44 Icon,1
item-1069,Tokarev Icon,1
item-1070,AS Val Icon,1
item-1071,M60 Icon,1
item-1072,Gr Mk23 Icon,1
item-1073,Springfield Icon,1
item-1074,Stechkin Icon,1
item-1075,Kar98k Icon,1
item-1076,M950A Icon,1
item-1077,Thompson Icon,1
item-1086,Background: Skyline Terrace,1
item-1096,Witch from Afar,1
item-1124,English in Love,1
item-1137,Crimson Starlet,1
item-1168,Bullets Cafe,1
item-1169,Battlefield Baker,1
item-1172,Icon: Zombie Homebody,1
item-1212,Icon: Korvatunturi Pixie,1
item-1213,Base Background: A Corner on Christmas Eve,1
item-1222,Icon: Tactical Ferret,1
item-1223,Icon: Griffin Christmas Emblem,1
item-1224,Icon: S.F. Christmas Emblem,1
item-1225,Icon: Mysterious Santa Claus,1
item-1226,ID Card: A Christmas Meeting with Nature,1
item-1228,Icon: Official 4-Koma vol.1,1
item-1229,Icon: Official 4-Koma vol.2,1
item-1230,Icon: Official 4-Koma vol.3,1
item-1237,Icon: Reunion,1
item-1238,ID Card: Coercion,1
item-1248,Icon: Official 4-Koma vol.4,1
item-1263,FF FN49 Neural Upgrade Icon,1
item-1264,M4A1 Neural Upgrade Icon,1
item-1265,ST AR-15 Neural Upgrade Icon,1
item-1276,Icon: Black Rider,1
item-1277,Icon: Wind Speaker,1
item-1278,Icon: Fallen Angel,1
item-1279,Icon: White Doll,1
item-1280,Icon: Cat Warrior,1
item-1281,Icon: El Clear,1
item-1282,Icon: El Fail,1
item-1283,Icon: Queen of Pocket City,2
item-1286,ID Card: Big Adventure in Pocket City,1
item-1287,Icon: Official 4-koma - VOL. 5,1
item-1297,Cat in the Box,1
item-1304,ID Card: Pippa's Song,1
item-1305,Icon: Official 4-koma - VOL. 6,1
item-1313,Icon: Metal Zongzi,1
item-1314,Icon: Zongzi Cat,1
item-1315,ID Card: Type Zongzi,1
item-1318,SAA Neural Upgrade Icon,1
item-1330,Icon: Kitsune Mask,1
item-1331,Base Background:Fireworks of Summer,1
item-1332,Icon: Reservoir Dog,1
item-1333,ID Card: Final Flight,1
item-1344,M4 SOPMOD II Neural Upgrade Icon,1
item-1345,UMP45 Neural Upgrade Icon,1
item-1346,ID Card: Beach Party,1
item-1357,Icon: Trick or Dinergate,1
item-1367,M14 Neural Upgrade Icon,1
item-1388,Background: Winter is Coming,1
item-1389,Icon: Official 4-koma - VOL. 7,1
item-1403,Icon: Official 4-koma - VOL. 8,1
item-1405,ID Card: Sangvis Presence,1
item-1406,Icon: Fatal Freedom,1
item-1419,Icon: Official 4-koma - VOL. 9,1
item-1430,Icon: Official 4-koma - VOL. 10,1
item-1437,1st Anniversary Icon,1
item-1438,Background: Witching Hour,1
item-1445,Micro Uzi Neural Upgrade Icon,1
item-1446,AS Val Neural Upgrade Icon,1
item-1459,Icon: Beer Wave,1
item-1460,Icon: Crimson Fist Grand Slam,1
item-1461,Icon: Kitty Friends Won't Leave,1
item-1462,Icon: A Toast To This Damn World,1
item-1463,Icon: Dear Becky,1
item-1464,Icon: Super-Shorty Squad Leader,1
item-1465,ID Card: Welcome to VA-11 Hall-A,1
item-1478,Icon: Summer Protector,1
item-1479,ID Card: Tacticool Watermelon Festival,1
item-1491,Icon: Lost Queen-of-the-Night,1
item-1492,ID: Train Station of the Beginning,1
item-1494,416 Neural Upgrade Icon,1
item-1495,Type88 Neural Upgrade Icon,1
item-1496,UMP9 Neural Upgrade Icon,1
item-1502,Background: Phantasmal Sea of Flowers,1
item-1513,Icon: Eulogizer,1
item-1514,Icon: Possessed Night Face-off,1
item-1515,ID Card: When Madness Descends,1
item-1525,Icon: Gourmet of Doom,1
item-1540,Icon: "Merry X'mas WOOF!",1
item-1541,Icon: "I want hugs!",1
item-1542,ID Card: An Embrace through Time and Space,1
item-1553,NTW-20 Neural Upgrade Icon,1
item-1555,Background: The Cozy Snowy Yard,1
item-1563,ID Card: Rider in the Snow,1
item-1566,Icon: Split-Second,1
item-1567,ID: Impending Boom,1
item-1578,Scarecrow Icon,1
item-1579,Executioner Icon,1
item-1580,Hunter Icon,1
item-1581,Intruder Icon,1
item-1582,Destroyer Icon,1
item-1583,Architect Icon,1
item-1584,Brute Icon,1
item-1585,Dragoon Icon,1
item-1586,Aegis Icon,1
item-1587,Nemeum Icon,1
item-1588,Tarantula Icon,1
item-1589,Manticore Icon,1
item-1591,Ripper Icon,1
item-1592,Vespid Icon,1
item-1593,Guard Icon,1
item-1594,Jaeger Icon,1
item-1595,Striker Icon,1
item-1596,Dinergate Icon,1
item-1611,Icon: Tsavorite Girl,1
item-1612,Icon: The Eye of Storytelling,1
item-1613,ID: The Edge of Time,1
item-1614,Background: Twilight City,1
item-1615,ID Card: Black Canyon,1
item-1616,M950A Neural Upgrade Icon,1
item-1626,Icon: 2nd Anniversary Icon,1
item-1669,ID Card: BBQ by the Azure Sea,1
item-1670,Icon: Tropical Mojito,1
item-1671,Icon: Sunset of Day 51,1
item-1673,Icon: Soothing Vanilla,1
item-1674,Icon: Girls' Sorcerer,1
item-1675,Icon: Dessert Taster,1
item-1676,Icon: Sleeping Pumpkin Princess,1
item-1677,Icon: Honey Sunlight,1
item-1678,ID: Seed of All Wishes,1
item-1679,ID: Fruit of Doubt,1
item-1697,Icon: Concert Ticket,1
item-1698,ID: Gilded Name Card,1
item-1701,ID: Polaris Light,1
item-1741,Icon: Silent Farewell,1
item-1742,Icon: Life of Deception,1
item-1743,ID: Curtain Call,1
item-1744,The Witch's Plan,1
item-1758,Icon: Original Sin - Leviathan,1
item-1759,Icon: Original Sin - Samael,1
item-1760,Icon: "The Commander is at Griffin",1
item-1761,Icon: Agent "Dima",1
item-1762,ID: Last Gaming,1
item-1763,ID: City of Tomorrow,1
item-1764,ID: First Light,1
item-1765,ID: Cold Shelter,1
item-1766,Background: Safe House,1
item-1770,Icon: Spring,1
item-1771,Icon: Summer,1
item-1772,Icon: Fall,1
item-1773,Icon: Winter,1
item-1774,ID: Work Checklist,1
item-1776,ID: Girls by the Hearth,1
item-1844,ID: Spring Carnival,1
item-1860,ID: Fragments of Precious Treasures,1
item-1906,Icon: Scry Thy Heart,1
item-1907,Icon: Taste the Warmth,1
item-1908,Icon: Memory of a Friend,1
item-1909,Icon: Sigh of Nostalgia,1
item-1910,Icon: Toil for Tomorrow,1
item-1911,Icon: Call of the Devil,1
item-1912,Icon: Mourning ★ Tears,1
item-1913,Icon: Demon Overlord ☆ Mind's Eye,1
item-1914,ID: Cozy Tatami,1
item-1915,Background: Birthplace of Dreams,1
item-1916,Background: Promised Dream Hotel,1
item-4001,City's Gift,43777
item-4002,Snowfield's Gift,238
item-4003,Forest's Gift,1599
item-4004,Wasteland's Gift,544
item-6001,Ordinary Meat Bun,11
item-6002,Bundle of Meat Buns,21
item-6003,Trove of Meat Buns,35
item-6004,Commonfolk Standard,11
item-6005,Comfort Bucket for One,25
item-6006,Full Meal for Two,99
item-6007,Strawberry Cheesecake Slice,2
item-6008,One Week's Cake Selection,18
item-6009,Sweet Explosives,123
item-6010,"Baby  B-A-B-Y.",7
item-6011,Streetside Oden,9
item-6012,Wild Honeycomb,5
item-6013,Icy Theater,4
item-7004,Lovestruck,6
item-7013,Stormy Cloud,2
item-8001,Intel Points,2410
item-8003,Intel Points,0
item-9003,Supply Box,0
item-9004,Supply Box,0
item-9006,item-10009006,1
item-9007,item-10009007,1
item-10603,Extra Potential Energy,0
item-10604,Extra Impulse,61
item-100009,Crown of Respect,20
item-100012,Metal Zongzi,12
item-100020,True Core Mask·3rd Anniversary,0
item-100021,Crate,0
item-100023,White Knight Armor Fragments,120
item-100025,True Core Mask - Shattered Connexion,0
item-100030,Nova Medal,7
item-100031,Platinum Medal,48
item-100032,item-10100032,0
item-100034,Platinum Medal,3
item-100035,Tangerine Coin,60
item-100047,Nova Medal,3
item-100048,Platinum Medal,2
item-100050,Nova Medal – Il Teatrino,2
item-100051,Platinum Medal – Il Teatrino,2
item-100052,Augustus,0
item-100062,Jade Coffer,0
item-100063,Strange Soap,4
item-100064,Nova Medal,0
item-100065,Platinum Medal,0
item-100066,Butterfly Mirage,0
item-100067,Nova Medal - Butterfly in a Cocoon,0
item-100068,Platinum Medal - Butterfly in a Cocoon,1
item-100069,Commander Headwear: Monster Overlord,2
item-100070,Phoenix Token,1
item-100071,Nova Medal - Bounty Feast,4
item-100072,Platinum Medal - Bounty Feast,4
item-100073,Star Ornament,10
item-100074,Nova Medal·A Snowy Night Capriccio,1
item-100075,Platinum Medal·A Snowy Night Capriccio,3
item-100081,Nova Medal - The Photo Studio Mystery,3
item-100082,Platinum Medal - The Photo Studio Mystery,3
item-100083,Tangerine Coin,0
item-100085,Platinum Medal,1
item-100092,Nova Medal - Far Side of the Sea,2
item-100093,Platinum Medal - Far Side of the Sea,4
item-100094,Azure Conch,10
item-100098,Nova Medal – My Devil's Frontline,2
item-100099,Platinum Medal – My Devil's Frontline,2
item-100100,Token of Life,20
item-100108,Strange Soap,10
item-100109,Nova Medal - Freaky Pandemic,3
item-100110,Platinum Medal - Freaky Pandemic,1
item-110001,Carnival Event Points,1830
item-110002,Carnival Event Points,2430
item-110003,Carnival Event Points,2430
item-110004,Carnival Event Points,1840
item-110006,Event Points,2120
item-110007,Event Points,1840
item-110008,Event Points,3000
item-110009,Event Points,2750
item-110010,Event Points,3000
item-110011,Event Points,2670
item-110012,Event Points,2500
item-110013,Event Points,2550
item-110014,Event Points,1850
item-110015,Event Points,2270
item-110016,Event Points,2010
item-110017,Event Points,2650
item-110018,Event Points,2010
item-120001,Besties Chatter,1
item-120002,Besties Chatter,1
item-120003,Besties Chatter,1
item-120004,Besties Chatter,1
item-120005,Besties Chatter,1
item-120006,Besties Chatter,1
item-900031,Platinum Medal,2
item-900032,Nova Medal,3
item-900034,Nova Medal·Shattered Connexion,4
item-900035,Platinum Medal·Shattered Connexion,0
item-900036,Crown of Respect,20
item-900037,Nova Medal·DJMAX,126
item-900038,Platinum Medal·DJMAX,45
item-1100001,High-Speed Beauties,1
item-1100002,High-Speed Beauties,1
item-1100003,Galactic Oath,1
item-1100004,Galactic Oath,1
item-1100005,Bon appétit !,1
item-1100006,Bon appétit !,1
gift-100001,Lollipop,54
gift-100002,Ice Cream Cone,4
gift-100003,Strawberry Custard Cheesecake,1013
gift-100005,Mulan Tea,1
gift-100006,Magic of Happiness,1
gift-100007,Whiskey,1
gift-100008,Eden's Apple,10
gift-200003,Beer on Discount,1
gift-200004,Paper Target,1
gift-200005,Kandel Formulation,1
gift-200006,Satan's Tears,10
gift-400001,Rapid Growth Disk,2530
furniture-10110,State-of-the-Art Workbench,10
furniture-10210,Large Cat Castle,10
furniture-10310,Integrated Canine Care Station,10
furniture-10410,Advanced Compound Bird Cage,10
furniture-10510,Fully-Automatic Twin-Level Temperature-Controlled Playpen,10
furniture-20110,Digital Era Desk,10
furniture-20210,Advanced Drone Console,10
furniture-20310,Advanced Automated Operating Station,10
furniture-20510,Modern Large Server,10
furniture-20410,Hard Disk Array Data Table,10
furniture-20610,Advanced Automated Writer,10
furniture-20700,Bookshelf of Memories,0
furniture-30110,Fairy Palace,10
furniture-30210,King Railway Hub Model,10
furniture-30310,Advanced Warehouse Model,10
furniture-30410,Twin Moon Weather System,10
furniture-40023,Cafe Bar Coffee Machine,0
furniture-40024,Gramophone,0
furniture-40026,Notebook,0
furniture-40027,Projector,0
furniture-40028,Comic Stand,0
furniture-50110,Data Detection Hub,10
furniture-50210,Holographic Mission Center,10
furniture-50310,Ultra High-Speed Liquid-Cooled Storage,10
furniture-50410,Futuristic Analysis Terminal,10
furniture-60110,Storeroom,10
furniture-60203,Large Maintenance Machinery,3
furniture-60310,Integrated Indoor Training Range,10
furniture-60400,Elevator - To the camp,0
furniture-70100,Elevator - To the garage,0
furniture-70003,furniture_establish-10070003,0
furniture-70004,furniture_establish-10070004,0
furniture-70005,furniture_establish-10070005,0
furniture-70006,furniture_establish-10070006,0
furniture-70007,furniture_establish-10070007,0
furniture-70008,furniture_establish-10070008,0
furniture-70009,furniture_establish-10070009,0
furniture-70010,furniture_establish-10070010,0
furniture-80007,Real Time Relay Terminal,0
furniture-80011,Black Market Shop,0
furniture-80110,Advanced Gate Console,10
furniture-80306,Advanced Loot Rack,6
furniture-90110,Impulse Reactor,10
furniture-90205,Tactical Chip Research Station,5
furniture-90400,Symmetric Infusion Drive,0
